pmid,pmcid,Title,pmid_citing,pmcid_citing,title_citing,citation,Retraction_Watch,Retraction_Watch_hierarchy,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,Category_openai,Justification_openai,Category_gemini,Justification_gemini,alignment,bert
24971902,4074038,The Tumor Suppressor Role of miR-124 in Osteosarcoma,27513473,4981393,SRCIN1 Suppressed Osteosarcoma Cell Proliferation and Invasion,"These data suggested that SRCIN1 acted as a tumor suppressor gene in the development of osteosarcoma.Osteosarcoma is one of the most common primary bone malignancies in young adults and adolescents, with an estimated 5.6 per million children suffering from osteosarcoma yearly[1–4]. It occurs mostly in long extremity bone and around regions with active bone growth[5–8].","+Unreliable Data
+Original Data not Provided
+Duplication of Image","{'Data', 'Other'}","+Fake Peer Review
+Concerns/Issues About Image
+Concerns/Issues About Authorship/Affiliation
",{'Other'},Other,"The citation mentions ""These data suggested that SRCIN1 acted as a tumor suppressor gene,"" which implies referencing prior findings or data related to SRCIN1, but there is no explicit indication that the citing paper is using specific data, results, or methods from <RA>. The context does not clearly align with the defined categories of Uses_Data, Uses_Results, Uses_Methods, or Shows_Consistency, making ""Other"" the most appropriate classification.",Other,"The provided text discusses osteosarcoma and its prevalence. It cites several articles [1-4] and [5-8] for background information. There is no explicit mention or implication that the retracted article <RA> is being used for its data, results, methods, or to show consistency. The context is insufficient to categorize the use of <RA>.",TRUE,Other
25025684,4099365,The Tumor-Suppressive MicroRNA-135b Targets c-Myc in Osteoscarcoma,26380245,4547013,MicroRNAs and Potential Targets in Osteosarcoma: Review,"In addition c-Myc forms a feedback regulatory loop involving direct or indirect repression of let-7, a well-recognized tumor suppressor miRNA, through the RNA-binding protein, LIN28 (15, 55). Thayanithy et al. (56) demonstrated significant decreases in expression levels of miRNAs at the 14q32 locus (miR-369-3p, miR-544, miR-134, and miR-382) in OS cell lines and tumors compared to normal bone tissues. This correlated with c-Myc overexpression and enrichment of the miR-17–92 cluster. In addition, miR-135b (57) and miR-33b (58) were demonstrated to directly repress c-Myc in OS cells and restoration inhibited cell proliferation, migration, and invasion. Interestingly, the expression of let-7 family members was attenuated in OS cell lines (59, 60).","+Fake Peer Review
+Concerns/Issues About Image
+Concerns/Issues About Authorship/Affiliation",{'Other'},,,Other,"The citation discusses multiple miRNAs and their regulatory roles in cancer, but there is no explicit mention of using, building upon, or directly referencing specific data, results, or methods from <RA>. The context does not clearly indicate a use of <RA>'s data, findings, or methodology, nor does it suggest an alignment or consistency with its conclusions.",Uses_Results,"The citing paper states that ""Thayanithy et al. (56) demonstrated significant decreases in expression levels of miRNAs at the 14q32 locus... in OS cell lines and tumors compared to normal bone tissues."" This directly refers to and uses the findings or results reported by the retracted article.",FALSE,Other
24434513,4040678,"Osteolytic bone metastasis is hampered by impinging on the interplay among autophagy, anoikis and ossification",26041563,4453100,HGF and TGFβ1 differently influenced Wwox regulatory function on Twist program for mesenchymal-epithelial transition in bone metastatic versus parental breast carcinoma cells,"To address our hypothesis, we studied whether HGF and TGFβ1 had opposite and/or coordinated effects in determining the gene profiles- characteristic of EMT and MET in MDA-MB231 and 1833 cells- also by triggering a Twist program in 1833 cells for E-cadherin induction. The growth factors of the bone microenvironment seem to influence bone-metastasis phenotype [1, 2, 4, 25], but the underlying molecular mechanisms are largely unknown. Twist and Snail might activate or repress target genes by employing several direct or indirect mechanisms. Modes of action by Twist1-bhelix-loop-helix (HLH) include direct DNA binding to E-box sequences, and recruitment of co-activators or repressors, but the regulatory outcomes of Twist are also controlled by spatio-temporal expression, phosphorylation and cellular localization [26]. In 1833 cells HGF increased nuclear expression and phosphorylation of Twist1, associated with Wwox down-regulation, differing from TGFβ1 To clarify whether the phenotype of bone metastasis from breast cancer depended on Twist and Snail, we evaluated their expression and intracellular localization in response to HGF and TGFβ1, two typical stimuli of bone microenvironment [1, 2, 4, 25]. As shown in Fig. 1a, HGF rapidly and persistently enhanced Twist-protein level in nuclear extracts of 1833 cells, being ineffective on Snail, and pTwist1/Twist ratio increased between 1 and 8 h, returning thereafter to the starvation value. Further experiments were performed to clarify the molecular mechanisms of nuclear localization and function of Twist and its phosphorylation in response to HGF, by considering the involvement of Akt activity and the role of endogenous or exogenous Wwox on Twist activity (Fig. 2). Twist1 phosphorylation by Akt was studied using LY294002, a specific inhibitor of PI3K/Akt pathway, since Akt is stimulated by HGF in 1833 cells [25] and it is known to activate Twist in metastasis [28]. As shown in Fig. 2a, in nucleus and cytosol the phosphoTwist1 enhancements after 1-h HGF were prevented by LY294002. Moreover, TGFβ activates ERK2 that directly phosphorylates Snail, leading to its nuclear accumulation, reduced ubiquitination and increased protein half-life [29], while HGF is practically ineffective on ERK1/2 phosphorylation in 1833 cells [25]. As in HGF-treated 1833 cells, also in the xenograft model the bone-metastatic cascade invokes E-cadherin emergence [19], consistent with the MET process in response to HGF [2, 25]. Second, our findings suggest for Twist a complex spatio-temporal expression and function, also related to the composition of bHLH-dimer pool [26], with a critical role of Twist as HIF-1 co-activator under Wwox overexpression. Also, we suggest a relationship with the immunohistochemical data of E-cadherin in pair-matched primary-ductal breast carcinoma and bone metastasis from humans, where E-cadherin expression is absent and present, respectively [19]. HGF/Met system is elevated in bone metastasis [2, 25], and might cooperate also in vivo with TGFβ signalling [20], affecting the intercellular adhesive properties and colonization. Recombinant-human HGF and TGF-β1 were from R&D System (Abingdon, UK).","+Unreliable Data
+Duplication of Image
+Concerns/Issues About Data","{'Data', 'Other'}","+Unreliable Results and/or Conclusions
+Objections by Author
+Manipulation of Images
+Investigation by Company/Institution
+Duplication of/in Image
",{'Other'},Other,"The provided citation context does not explicitly mention using data, results, or methods from <RA>, nor does it state that its findings are consistent with or directly build upon <RA>. Instead, it discusses general molecular mechanisms, signaling pathways, and biological processes related to Twist, HGF, TGFβ1, and metastasis, without referencing <RA> as a source of specific data, results, or methodologies. Therefore, the function of the citation does not clearly align with the defined categories and is best classified as Other.",Uses_Results,"The citing paper states ""As in HGF-treated 1833 cells, also in the xenograft model the bone-metastatic cascade invokes E-cadherin emergence [19], consistent with the MET process in response to HGF [2, 25]."" This indicates that the citing paper is comparing its findings (E-cadherin emergence in a xenograft model) to the results reported in the retracted article [2, 25] regarding the MET process in response to HGF.",FALSE,Other
25136862,4138091,MicroRNA-410 Suppresses Migration and Invasion by Targeting MDM2 in Gastric Cancer,28944848,5865856,CMIP is oncogenic in human gastric cancer cells,"MDM2 has previously been identified as an oncogene in gastric cancer; MDM2 promoted tumor initiation and development by targeting and reducing tumor suppressor genes, including p53 (36,37). Furthermore, it was reported that MDM2 serves a promoting role in the migration and invasion of gastric cancer (38), and inhibition of MDM2 expression could induce the apoptosis of gastric cancer cells (39). MDM2 has also demonstrated a tumor promoting ability in breast cancer and non-small cell lung cancer (40,41).","+Unreliable Results
+Paper Mill
+Investigation by Journal/Publisher
+Duplication of Image","{'Other', 'Results'}",,,Other,"The citation context discusses general background information about MDM2's role in cancer, citing multiple references for established facts, but does not specify using, building upon, comparing results, or employing methods from <RA>. The mention appears to be for contextual framing rather than a direct use of data, results, or methodology from the retracted article.",Uses_Results,"The citing paper refers to previous reports about MDM2's role in gastric cancer, stating ""it was reported that MDM2 serves a promoting role in the migration and invasion of gastric cancer"" and ""inhibition of MDM2 expression could induce the apoptosis of gastric cancer cells."" These phrases indicate the citing paper is referencing established findings or results from prior work, which is consistent with the ""Uses_Results"" category.",FALSE,Other
24741311,3983010,Osteogenic Activity of Titanium Surfaces with Nanonetwork Structures,35161039,8839629,Mapping Bone Marrow Cell Response from Senile Female Rats on Ca-P-Doped Titanium Coating,"The modified surface topographies of the Ti discs used in this study (SLA and PEO) showed favorable results [27] in the cellular response of mesenchymal stem cells derived from senile rats. The differentiation of MSC-BM into osteoblasts has well-defined steps in the literature [33], both in healthy cells and in osteoporosis-induced cells [1,34], as well as the correlation of the influence of bioactivity on implant surfaces in the osseointegration process and cell differentiation [35,36,37,38,39]. The cell differentiation and mineralization of senile MSC-BM obtained in this study reinforce the influence of this bioactivity, demonstrating that the topographical characteristics of the PEO-treated surface favor good results, even in cells in an osteoporotic process. Both modified surfaces (SLA and PEO) showed an increase in cell viability over time. However, the SLA surface outnumbered the PEO surface in all time points (3, 7, and 10 days). This correlates with the literature regarding the culture and differentiation of osteoporotic or normal density cells and clinical studies evaluating osseointegration comparing various surface treatments [1,11,34,36,39,44,45]. It is noted that the PEO surface has a beneficial influence on proliferation, being more accelerated, in the process of differentiation into osteoblasts, while the SLA surface is still in the process of cell proliferation [42].","+Duplication of Image
+Concerns/Issues About Data
+Author Unresponsive","{'Other', 'Data'}",,,Other,"The citation references multiple studies (e.g., [27], [1,11,34,36,39,44,45]) to support general claims about cell differentiation, bioactivity, and osseointegration, but there is no explicit indication that the paper is using specific data, results, or methods from the retracted article <RA>. The context suggests a broad literature review or background support rather than direct use of <RA>'s data, results, or methodology.",Uses_Results,"The citing paper states ""Both modified surfaces (SLA and PEO) showed an increase in cell viability over time. However, the SLA surface outnumbered the PEO surface in all time points (3, 7, and 10 days). This correlates with the literature regarding the culture and differentiation of osteoporotic or normal density cells and clinical studies evaluating osseointegration comparing various surface treatments [1,11,34,36,39,44,45]."" This indicates the citing paper is comparing its own results (SLA outnumbering PEO) to findings reported in the literature, which would include the retracted article if it were cited as [1] or [34] or similar. The phrase ""correlates with the literature"" suggests a comparison of findings.",FALSE,Other
25292320,4197273,Molecular insights into the anti-cancer properties of Traditional Tibetan medicine Yukyung Karne,29755561,5937100,Crude Methanol Extract of Echinophora Platyloba Induces Apoptosis and Cell Cycle Arrest at S-Phase in Human Breast Cancer Cells,"For many years, the anti-proliferative actions of chemotherapeutic drugs were ascribed solely to their ability to induce genotoxic damage. Natural plant components are excellent sources of complex chemicals with useful properties, including great therapeutic value (4). To date, many anticancer drugs have been developed from different sources and being prescribed by clinicians (5).","+Unreliable Results
+Duplication of Image
+Contamination of Cell Lines/Tissues","{'Other', 'Results', 'Methods'}",,,Other,"The provided context does not include any explicit mention of data, results, methods, or claims directly derived from <RA>. Instead, it discusses general background information about chemotherapeutic drugs and natural plant components, without indicating how <RA> is being used or referenced.",Other,"The provided text discusses the general understanding of chemotherapeutic drugs and the role of natural plant components in medicine. It cites references (4) and (5) to support these general statements. There is no explicit mention or implication that the retracted article <RA> is being used for its data, results, methods, or to show consistency with its specific findings. The context is too broad to fit into the other categories.",TRUE,Other
25793604,4368543,MicroRNA-153 Inhibits Osteosarcoma Cells Proliferation and Invasion by Targeting TGF-β2,33401251,7835057,LncRNA ROR1-AS1 accelerates osteosarcoma invasion and proliferation through modulating miR-504,"Osteosarcoma is characterized by to high metastasis rate, Although several treatment advancements including postoperative chemotherapy and surgical resection have been attained, overall survival (OS) rate of osteosarcoma cases remains unsatisfactory due to recurrence and metastasis [6–10]. Until now, detailed role and mechanism of metastasis and oncogenesis remained unclear in osteosarcoma [11, 12]. Thus, it is vital to investigate the modulatory mechanism of osteosarcoma and seek new treatment strategies for this disease.","+Unreliable Results
+Paper Mill
+Investigation by Journal/Publisher
+Duplication of Image","{'Other', 'Results'}",,,Other,"The provided context does not include any explicit mention of data, results, methods, or claims directly derived from <RA>. Instead, it discusses the general background and importance of understanding metastasis and oncogenesis in osteosarcoma, without referencing specific findings, data, or methodologies from <RA>.",Other,"The provided text discusses the general challenges and current understanding of osteosarcoma, citing multiple references ([6-12]) to support these statements. There is no specific mention of using data, results, methods, or showing consistency with any particular retracted article. The context is too general to assign a specific citation function.",TRUE,Other
24890648,4050395,Clinico-histopathologic and outcome features of cutaneous infundibular keratinizing acanthoma: a case report and literature review,29181070,5701685,Investigation of clinicopathological parameters in emergency colorectal cancer surgery: a study of 67 patients,"Based on the bivariate analyses, no association was found between other parameters and death, including age, gender, and tumor site. These clinicopathological parameters were previously reported by different authors for various cancers [27–34]. It has been reported that advanced CRC is related to higher incidence of complications and mortality [35].","+Plagiarism of Article
+Investigation by Journal/Publisher
+Fake Peer Review
+Concerns/Issues About Authorship/Affiliation",{'Other'},,,Other,"The citation references previous reports and general findings from various authors, including <RA>, about clinicopathological parameters and CRC, but does not specify using data, results, methods, or aligning its findings directly with <RA>.",Other,"The provided text discusses associations between clinicopathological parameters and death, referencing multiple sources ([27-34]) for these parameters and a separate source ([35]) for the relationship between advanced CRC and mortality. There is no explicit mention or implication of using data, results, methods, or showing consistency with a specific retracted article <RA>. The context is insufficient to classify the use of <RA>.",TRUE,Other
24984017,4077842,Decreased miR-204 in H. pylori-Associated Gastric Cancer Promotes Cancer Cell Proliferation and Invasion by Targeting SOX4,27595705,5011851,miR-582-5P induces colorectal cancer cell proliferation by targeting adenomatous polyposis coli,"They negatively regulate post-transcriptional gene expression to act as tumor suppressors or oncogenes by binding to the 3′ untranslated region (UTR) of a target gene [8–11]. miRNAs have been widely proposed as potential targets for anti-cancer therapies because a number of findings have indicated that some miRNAs, such as miR-150 [12, 13], miR-153 [13], miR-561 [14], and miR-622 [15], are involved in the development of human CRC. Publicly available algorithms have indicated that miR-582-5P may directly target the 3′ UTR of APC.","+Lack of IRB/IACUC Approval
+Error in Image
+Duplication of Image",{'Other'},,,Other,"The provided context does not explicitly mention using data, results, or methods from <RA>, nor does it indicate that the paper's findings or arguments are directly aligned with or based on <RA>. Instead, it references general concepts about miRNAs and their roles, with no specific indication of engaging with the retracted article's content in a way that fits the defined categories.",Uses_Results,"The citing paper mentions that ""a number of findings have indicated that some miRNAs... are involved in the development of human CRC."" This suggests the citing paper is referring to findings or results reported in previous studies, which could include the retracted article, about the role of specific miRNAs in cancer development. While not explicitly stating ""results from <RA>"", the phrasing ""findings have indicated"" points towards the use of established results.",FALSE,Other
24658061,3962420,Raf Kinase Inhibitor Protein (RKIP) Blocks Signal Transducer and Activator of Transcription 3 (STAT3) Activation in Breast and Prostate Cancer,33061622,7532887,LncRNA GATA6-AS1 Inhibits the Progression of Non-Small Cell Lung Cancer via Repressing microRNA-543 to Up-Regulating RKIP,"For example, RKIP overexpression inhibits the proliferation, migration, and invasion of prostate cancer cells, and overexpression of RKIP leads to the inhibition of the NF-kB signaling pathway;21 RKIP impedes the migration and invasion of breast cancer by modulating the expression of CCL5 and regulating the infiltration of tumor-associated macrophages.37 Moreover, RKIP can block the activation of STAT3.38 STAT3 plays an important role in cancer progression, which can regulate cancer cell proliferation, metastasis, immunosuppression, angiogenesis and other malignant phenotypes.","+Unreliable Data
+Original Data not Provided
+Manipulation of Images
+Duplication of Image","{'Data', 'Other'}",,,Other,"The citation references multiple numbered sources (e.g., 21, 37, 38) to support statements about RKIP's biological functions, but it does not explicitly indicate that it is using data, results, or methods from <RA>, nor does it state that its findings are consistent with or directly based on <RA>. The context appears to be a general literature support rather than a specific use of <RA>'s data, results, or methodology.",Uses_Results,"The citing paper states that ""RKIP overexpression inhibits the proliferation, migration, and invasion of prostate cancer cells"" and that ""RKIP impedes the migration and invasion of breast cancer by modulating the expression of CCL5 and regulating the infiltration of tumor-associated macrophages."" These are specific findings and conclusions attributed to the work being cited, indicating a use of the results.",FALSE,Other
25621061,4301513,MicroRNA-133a suppresses colorectal cancer cell invasion by targeting Fascin1,29928399,6006452,MicroRNA-423-3p promotes glioma growth by targeting PANX2,"miRs are a class of non-coding RNAs that are 18–25 nucleotides in length, and have been demonstrated to act as key regulators of gene expression by directly binding to the complementary regions of their target mRNA, leading to mRNA degradation or translational inhibition (5). Through the inhibition of the expression of their target mRNA, a multitude of miRs participate in various physiological and pathological biological processes, including differentiation, development, angiogenesis and tumorigenesis (5–7). Glioma, like other types of cancer, possesses a distinct miR expression signature, and previous studies have identified that a number of miRs are involved in the regulation of glioma cell proliferation, survival, cell cycle progression, migration and invasion (8–10).","+Paper Mill
+Investigation by Third Party
+Duplication of Image",{'Other'},"+Paper Mill
+Investigation by Third Party
+Duplication of/in Image
",{'Other'},Other,"The provided context does not include any explicit mention of <RA> or indicate that the citing paper is using data, results, methods, or aligning with the findings of <RA>. It appears to be a general background or literature review section discussing miRs and glioma, with no specific reference to <RA>.",Other,"The provided text discusses miRs and their role in biological processes, including glioma. It cites references (5-10) to support these general statements. There is no explicit mention of using data, results, or methods from a specific retracted article. The citation appears to be for background information or general knowledge within the field, rather than a direct engagement with the content of a specific retracted paper.",TRUE,Other
26010572,4444266,Up-Regulation of MiR-300 Promotes Proliferation and Invasion of Osteosarcoma by Targeting BRD7,30940648,6500972,Poly(ADP‐ribosyl)ation of BRD7 by PARP1 confers resistance to DNA‐damaging chemotherapeutic agents,"Similarly, in vivo ubiquitination assays revealed that RNF146 triggered the ubiquitination of wild‐type BRD7 significantly but not R613/K614 mutant (Appendix Fig S6F), again supporting the notion that RNF146‐mediated BRD7 ubiquitination and degradation depend on the ribosylation of BRD7. Accumulating evidence demonstrates that BRD7 plays vital roles in cell proliferation and tumorigenesis through modulating crucial signalling pathway, such as Ras/Raf/MEK/ERK and PI3K/AKT signalling 40, 57, 58, 59, 60. Thus, we investigated if PARP1 can regulate cell survival through BRD7.","+Paper Mill
+Investigation by Journal/Publisher
+Duplication of Image",{'Other'},,,Other,"The citation discusses in vivo ubiquitination assays and evidence about BRD7's role in cell proliferation and tumorigenesis, but it does not explicitly state that it is using data, results, or methods from <RA>, nor does it claim consistency with <RA>. Instead, it references ""accumulating evidence"" and builds a broader argument without directly analyzing or replicating specific findings or data from <RA>.",Uses_Results,"The citing paper states ""Accumulating evidence demonstrates that BRD7 plays vital roles in cell proliferation and tumorigenesis through modulating crucial signalling pathway, such as Ras/Raf/MEK/ERK and PI3K/AKT signalling 40, 57, 58, 59, 60."" This indicates that the citing paper is referring to established findings or conclusions about BRD7's roles, which would likely originate from prior research, potentially including the retracted article if it was a significant contributor to this body of evidence. The phrase ""Accumulating evidence demonstrates"" suggests the citing paper is referencing a collection of results that support a particular notion.",FALSE,Other
25973950,4431740,The Downregulation of MiR-182 Is Associated with the Growth and Invasion of Osteosarcoma Cells through the Regulation of TIAM1 Expression,31519771,6822501,MiR-182 regulates cell proliferation and apoptosis in laryngeal squamous cell carcinoma by targeting the CRR9,"The mechanism may be the inhibition of the growth, proliferation, invasion, and metastasis of laryngeal squamous cells through specific signaling pathways. Studies have found that miR-182 can promote the metastasis of primary osteosarcoma; the mechanism was due to the direct action of miR-182 on its target genes MSS1 and Rsul [29]. Therefore, miR-182 can play a different role in the malignant process, mainly dependent on its regulation of different downstream target genes. We finally screened the target gene of CRR9 to miR-182 through the database.","+Paper Mill
+Investigation by Third Party
+Fake Peer Review
+Duplication of Image
+Concerns/Issues About Results
+Concerns/Issues About Authorship/Affiliation","{'Other', 'Results'}","+Paper Mill
+Investigation by Third Party
+Duplication of/in Image
",{'Other'},Other,"The citation discusses the identification of a target gene of miR-182 through database screening, but there is no explicit mention of using data, results, or methods from <RA>, nor does it indicate that the findings are consistent with or directly based on <RA>. The context does not clearly align with any of the specified categories.",Uses_Results,"The citing paper states that ""Studies have found that miR-182 can promote the metastasis of primary osteosarcoma; the mechanism was due to the direct action of miR-182 on its target genes MSS1 and Rsul [29]."" This directly refers to findings and a proposed mechanism from the retracted article, indicating the use of its results.",FALSE,Other
26064984,4439495,Small Molecule Kaempferol Promotes Insulin Sensitivity and Preserved Pancreatic β-Cell Mass in Middle-Aged Obese Diabetic Mice,32961762,7555649,"Allium Flavonols: Health Benefits, Molecular Targets, and Bioavailability","Notwithstanding, the same study failed to elicit any hypoglycemic effects in vivo in normoglycemic mice and human volunteers, which might be attributed to some variations in dose efficacy or compound bioavailability. Kaempferol is another important class of Allium flavonol which displayed promising antidiabetic potential [107,108,109,110]. A kaempferol-3-O-β-d-6(P-coumaroyl) glucopyranoside from onion displayed blood glucose lowering ability in alloxan-induced diabetic rats and it was comparably higher to a standard drug [74].","+Original Data not Provided
+Manipulation of Images
+Investigation by Third Party","{'Data', 'Other'}",,,Other,"The citation discusses related research on antidiabetic effects of compounds from Allium species, including a specific mention of a compound from onion with blood glucose lowering ability, but it does not explicitly state that it is using data, results, or methods from the retracted article <RA>. There is no direct reference to <RA>’s findings, data, or methodology, nor does it indicate an attempt to replicate or build upon <RA>. Therefore, the function does not clearly align with the specified categories and is best classified as Other.",Uses_Results,"The citing paper refers to the ""blood glucose lowering ability"" of a compound from onion, stating it was ""comparably higher to a standard drug."" This directly references a specific finding or result reported in the context of the retracted article.",FALSE,Other
24950377,4076709,PKA-Mediated Phosphorylation of ATR Promotes Recruitment of XPA to UV-Induced DNA Damage,34819497,8613282,ATR inhibition enables complete tumour regression in ALK-driven NB mouse models,"Because this raises the possibility that ALK activity in NB cells modulates ATR/ATM activity, we examined ATR and ATM in our phosphoproteomic dataset, identifying serines 435, 436 and 437 on ATR (Fig. 1b) as sites dephosphorylated in response to ALK inhibition (log2FC −2.66 in CLB-BAR; log2FC −1.98 in CLB-GE cells treated with crizoitinib)39. Interestingly, serine 435 has been described as a PKA-mediated ATR site that regulates ATR activity40, and its phosphorylation is decreased in NB cells treated with ALK inhibitors39. We validated these observations in CLB-BAR NB cells, where pATR/ATM substrate motif antibodies were able to immunoprecipitate SUN2 protein. We also explored a combination of ALK and ATR inhibition (employing lorlatinib and BAY 1895344 together), but could see only mild synergistic effects on proliferation of ALK-driven NB cells in vitro (Fig. 5). Thus, although our previous data indicate that ALK signalling regulates ATR phosphorylation on serine 43539, which has been reported as important for ATR activity40, we currently do not fully understand the potential advantages of targeting them in combination. Using BAY 1895344 we were also able to confirm that the regulation of FOXM1 at the S/G2 checkpoint by ATR is conserved in NB cells26 (Fig. 4).","+Original Data not Provided
+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Manipulation of Images
+Investigation by ORI
+Falsification/Fabrication of Image
+Falsification/Fabrication of Data
+Duplication of Image","{'Data', 'Other'}",,,Other,"The citing paper references a previous finding (""serine 435 has been described as a PKA-mediated ATR site that regulates ATR activity39"") and mentions that this observation was validated in their own experiments, but it does not explicitly state that it is using data, results, or methods from <RA>. Instead, it discusses prior knowledge and confirms certain aspects, aligning with a general acknowledgment rather than a direct use of data, results, or methodology.",Uses_Results,"The citing paper states ""our previous data indicate that ALK signalling regulates ATR phosphorylation on serine 43539"", directly referencing and building upon a finding from the retracted article (indicated by the citation ""39""). It also mentions validating ""these observations"" from the retracted article.",FALSE,Other
25355053,4262478,Regulation of the cell cycle and PI3K/Akt/mTOR signaling pathway by tanshinone I in human breast cancer cell lines,36046197,9400791,"An overview of the anti-cancer actions of Tanshinones, derived from Salvia miltiorrhiza (Danshen)","Interestingly, Tan compounds identified in Salvia miltiorrhiza roots (Formula: C19H18O3) are liposoluble naphthoquinone diterpenes and have been reported to exhibit great potential against cardiovascular diseases and for stroke treatment. Tanshinones, including Tanshinone I (Tan I) and Tanshinone IIA (Tan IIA) can suppress the growth of multiple cancers including those of bladder [15], breast [16–18], cervical [19], liver [20, 21], lung [2–31], pancreatic and prostate cancer (PC) [32–36]. In addition, these bio-active compounds can modulate the growth of astrocytoma [37], endometrial carcinoma [38], mesothelioma [39], melanoma, and leukaemia [40, 41] as well as osteosarcoma [42] and ovarian carcinoma [43–45]. In contrast, Tan IIA has been shown to modulate vascular epidermal growth factor receptor (VEGFR) as well as Ras/Raf/MEK/ERK pathway in AGS gastric carcinoma cells [58]. Moreover, Tan I downregulated the activation of the PI3K/Akt/m-TOR pathway leading to a substantial level of apoptosis in breast cancer cells [17]. The molecular mechanisms of Tan I have been briefly depicted in the figure below (Figure 3). Tan IIA in combination with Taxol was found to considerably reduce the resistance of breast cancer MCF-7 (taxol resistant) cells by causing an abrogation of microtubule associated protein [16]. It is interesting to note that both estrogen receptor-responsive MCF-7 and estrogen-independent MDA-MB-453 human breast cancer cells were found responsive to Tan I, irrespective of their sensitivity to estrogen [17]. In addition, Tan I attenuated the levels of HIF-1α and p-705-STAT3 and the secretion of VEGF in MCF-7 cells [63].","+Investigation by Third Party
+Investigation by Journal/Publisher
+Concerns/Issues About Image
+Concerns/Issues About Data
+Author Unresponsive","{'Other', 'Data'}",,,Other,"The provided citation context discusses the biological activities and molecular mechanisms of Tanshinone compounds, but does not explicitly mention using, building upon, comparing results, or adopting methods from a retracted article <RA>. There are no phrases indicating direct use of data, results, or methods from <RA>, nor does it state that the findings are consistent with or in agreement with <RA>. Therefore, the citation's function does not clearly align with the specified categories and is best classified as Other.",Uses_Results,"The citing paper states that ""Tan IIA has been shown to modulate vascular epidermal growth factor receptor (VEGFR) as well as Ras/Raf/MEK/ERK pathway in AGS gastric carcinoma cells [58]."" This directly refers to a finding or result reported in the retracted article.",FALSE,Other
25105419,4126682,"MicroRNA-493 Suppresses Tumor Growth, Invasion and Metastasis of Lung cancer by Regulating E2F1",29740498,5934716,MicroRNA-493 inhibits the proliferation and invasion of osteosarcoma cells through directly targeting specificity protein 1,"Sp1 is a member of Sp-family and contains a glutamine rich region that can act as strong activation domain, it has also been reported that Sp1 can bind to some mircroRNAs (17). Previous studies have reported that miR-493 is involved in the tumor formation and progression of several types of human cancer (18–22). However, little is known regarding the expression and clinical significance of miR-493 in OS. For example, a study undertaken by Ueno et al (18) revealed that miR-493 expression was low in bladder cancer tissues and cell lines and that upregulation of miR-493 suppressed bladder cancer cell migration and motility. Furthermore, a study undertaken by Gu et al (19) reported that miR-493 was downregulated in non-small cell lung cancer. Additionally, restoration of miR-493 expression attenuated cell growth and invasion in vitro and in vivo (19). A study undertaken by Zhou et al (20) revealed that the expression level of miR-493 was decreased in gastric cancer and that low miR-493 expression was significantly associated with advanced clinical stages and lymph node metastases in patients with gastric cancer. These observations suggested that miR-493 may have promising therapeutic values in treating these types of human cancer. Previous studies have identified several direct targets of miR-493, including Ras homolog family member C (18), frizzled class receptor 4 (18), E2F transcription factor 1 (19), insulin-like growth factor 1 receptor (21) and mitotic arrest deficient 1 (22). It is typical for a miRNA to have numerous target genes (11).","+Plagiarism of Text
+Original Data not Provided
+Manipulation of Images
+Euphemisms for Plagiarism
+Duplication of Image","{'Other', 'Data'}",,,Other,"The citing paper references multiple prior studies (e.g., Ueno et al (18), Gu et al (19), Zhou et al (20)) to provide background on miR-493's role in cancer, but there is no explicit mention of using, building upon, or directly comparing results, methods, or data from the retracted article <RA>. The context is primarily a literature review rather than a direct use or analysis of <RA>.",Uses_Results,"The citing paper refers to ""a study undertaken by Ueno et al (18)"" which revealed specific findings about miR-493 expression in bladder cancer, and also mentions ""a study undertaken by Gu et al (19)"" reporting downregulation of miR-493 in non-small cell lung cancer and its effects on cell growth and invasion. These are direct references to the results and findings of the cited studies.",FALSE,Other
